Region,Country,Sales Channel,Order Priority,Order Date,Product ID,Order ID,Ship Date,Units Sold,Unit Price,Unit Cost,Total Revenue,Total Cost,Total Profit
Central America and the Caribbean,Antigua and Barbuda ,Online,M,12/20/2013,UWDY,957081544,1/11/2014,552,255.28,159.42,140914.56,87999.84,52914.72
Central America and the Caribbean,Panama,Offline,C,7/5/2010,XZEM,301644504,7/26/2010,2167,152.58,97.44,330640.86,211152.48,119488.38
Europe,Czech Republic,Offline,C,9/12/2011,ASNX,478051030,9/29/2011,4778,47.45,31.79,226716.1,151892.62,74823.48
Asia,North Korea,Offline,L,5/13/2010,EDQI,892599952,6/15/2010,9016,205.7,117.11,1854591.2,1055863.76,798727.44
Asia,Sri Lanka,Offline,C,7/20/2015,IXRR,571902596,7/27/2015,7542,152.58,97.44,1150758.36,734892.48,415865.88
Middle East and North Africa,Morocco,Offline,L,11/8/2010,LIQZ,412882792,11/22/2010,48,81.73,56.67,3923.04,2720.16,1202.88
Australia and Oceania,Federated States of Micronesia,Offline,H,3/28/2011,UWDY,932776868,5/10/2011,8258,109.28,35.84,902434.24,295966.72,606467.52
Europe,Bosnia and Herzegovina,Online,M,10/14/2013,DVUA,919133651,11/4/2013,927,109.28,35.84,101302.56,33223.68,68078.88
Middle East and North Africa,Afghanistan,Offline,M,8/27/2016,UWDY,579814469,10/5/2016,8841,109.28,35.84,966144.48,316861.44,649283.04
Sub-Saharan Africa,Ethiopia,Online,M,4/13/2015,WQZC,192993152,5/7/2015,9817,255.28,159.42,2506083.76,1565026.14,941057.62
Middle East and North Africa,Turkey,Offline,C,9/25/2013,DQAR,557156026,10/15/2013,3704,651.21,524.96,2412081.84,1944451.84,467630
Middle East and North Africa,Oman,Online,M,5/12/2013,MVEM,741101920,5/17/2013,7382,437.2,263.33,3227410.4,1943902.06,1283508.34
Asia,Malaysia,Offline,L,7/31/2016,RACB,333942162,8/25/2016,9762,205.7,117.11,2008043.4,1143227.82,864815.58
Central America and the Caribbean,Saint Lucia,Offline,H,7/6/2015,RVOK,795100581,7/16/2015,6786,437.2,263.33,2966839.2,1786957.38,1179881.82
Central America and the Caribbean,Saint Vincent and the Grenadines,Online,L,11/28/2010,DQAR,504313504,12/3/2010,6428,255.28,159.42,1640939.84,1024751.76,616188.08
Middle East and North Africa,Lebanon,Offline,H,12/17/2015,ASNX,611629760,1/31/2016,3693,421.89,364.69,1558039.77,1346800.17,211239.6
Europe,Austria,Offline,C,8/13/2014,SNIL,987410676,9/6/2014,5616,205.7,117.11,1155211.2,657689.76,497521.44
Europe,Bulgaria,Online,L,10/31/2010,DQAR,672330081,11/29/2010,6266,651.21,524.96,4080481.86,3289399.36,791082.5
North America,Mexico,Online,C,3/13/2017,DQAR,127374303,3/20/2017,1742,47.45,31.79,82657.9,55378.18,27279.72
Central America and the Caribbean,Trinidad and Tobago,Offline,C,4/16/2013,BOTW,783842170,6/1/2013,5172,255.28,159.42,1320308.16,824520.24,495787.92
Middle East and North Africa,Libya,Offline,L,1/18/2010,RVOK,993345010,3/3/2010,1718,47.45,31.79,81519.1,54615.22,26903.88
Middle East and North Africa,Algeria,Offline,M,9/5/2015,DQAR,977806651,10/14/2015,3572,255.28,159.42,911860.16,569448.24,342411.92
Europe,Estonia,Online,L,9/28/2016,IXRR,579463422,11/1/2016,4958,9.33,6.92,46258.14,34309.36,11948.78
Australia and Oceania,Tuvalu,Offline,L,3/22/2012,YTOV,610864150,4/7/2012,7132,47.45,31.79,338413.4,226726.28,111687.12
Middle East and North Africa,Saudi Arabia,Offline,L,4/25/2017,ASNX,604870164,6/5/2017,3378,152.58,97.44,515415.24,329152.32,186262.92
Central America and the Caribbean,Cuba,Online,H,3/13/2014,DQAR,164655292,5/1/2014,4015,205.7,117.11,825885.5,470196.65,355688.85
Europe,Montenegro,Offline,L,5/29/2016,DVUA,313705861,7/10/2016,1390,9.33,6.92,12968.7,9618.8,3349.9
Central America and the Caribbean,Guatemala,Online,M,1/17/2012,MVEM,345820701,2/1/2012,4885,651.21,524.96,3181160.85,2564429.6,616731.25
Sub-Saharan Africa,Guinea,Online,M,12/27/2012,RACB,975111138,1/21/2013,5910,255.28,159.42,1508704.8,942172.2,566532.6
Australia and Oceania,Vanuatu,Online,C,4/1/2013,RVOK,286001002,4/15/2013,2907,152.58,97.44,443550.06,283258.08,160291.98
Middle East and North Africa,United Arab Emirates,Offline,H,6/26/2015,DQAR,483226621,8/6/2015,6350,437.2,263.33,2776220,1672145.5,1104074.5
Australia and Oceania,Australia,Offline,M,1/17/2012,ASNX,241836822,1/17/2012,3744,109.28,35.84,409144.32,134184.96,274959.36
Middle East and North Africa,Oman,Online,H,7/3/2011,DQAR,557192933,7/5/2011,4626,109.28,35.84,505529.28,165795.84,339733.44
Sub-Saharan Africa,Malawi,Online,L,2/17/2012,DVUA,694968783,4/2/2012,5562,421.89,364.69,2346552.18,2028405.78,318146.4
Middle East and North Africa,Lebanon,Online,H,4/5/2013,,441150701,5/12/2013,5150,9.33,6.92,48049.5,35638,12411.5
Europe,Czech Republic,Online,M,7/8/2011,,552037513,8/5/2011,9022,205.7,117.11,1855825.4,1056566.42,799258.98
Australia and Oceania,Vanuatu,Offline,C,2/24/2012,ASNX,504240548,3/27/2012,4838,437.2,263.33,2115173.6,1273990.54,841183.06
Europe,Luxembourg,Offline,L,2/13/2010,YTOV,744683635,4/1/2010,7291,154.06,90.93,1123251.46,662970.63,460280.83
Sub-Saharan Africa,Benin,Online,L,8/7/2016,ZBOW,440603101,9/15/2016,3104,81.73,56.67,253689.92,175903.68,77786.24
Middle East and North Africa,Somalia,Offline,L,4/26/2017,BOTW,629547774,5/3/2017,6031,109.28,35.84,659067.68,216151.04,442916.64
Europe,Switzerland,Online,L,3/21/2014,DQAR,169378983,4/10/2014,1860,421.89,364.69,784715.4,678323.4,106392
Middle East and North Africa,Saudi Arabia,Offline,L,2/2/2014,LIQZ,688270556,3/4/2014,3407,81.73,56.67,278454.11,193074.69,85379.42
Asia,Laos,Online,L,3/21/2017,LZSI,734708821,3/24/2017,5522,421.89,364.69,2329676.58,2013818.18,315858.4
Asia,Kyrgyzstan,Online,C,8/6/2013,MKIT,727492606,9/22/2013,84,152.58,97.44,12816.72,8184.96,4631.76
Middle East and North Africa,Algeria,Offline,M,12/30/2016,MVEM,705733239,1/25/2017,1003,255.28,159.42,256045.84,159898.26,96147.58
Sub-Saharan Africa,Angola,Offline,C,10/3/2015,IXRR,778854548,10/3/2015,9224,651.21,524.96,6006761.04,4842231.04,1164530
Sub-Saharan Africa,Mauritania,Offline,M,5/30/2014,LIQZ,676592862,7/9/2014,7718,437.2,263.33,3374309.6,2032380.94,1341928.66
Middle East and North Africa,Lebanon,Offline,M,10/15/2014,LZSI,198997008,10/16/2014,6492,668.27,502.54,4338408.84,3262489.68,1075919.16
Europe,Finland,Online,H,3/16/2012,MKIT,566428315,3/23/2012,7581,47.45,31.79,359718.45,240999.99,118718.46
Asia,Taiwan,Online,M,5/27/2014,LIQZ,369560611,6/13/2014,52,255.28,159.42,13274.56,8289.84,4984.72
Europe,Belgium,Online,M,1/12/2015,LZSI,519380223,1/17/2015,5005,152.58,97.44,763662.9,487687.2,275975.7
Asia,Laos,Online,H,8/10/2012,MKIT,197185981,9/11/2012,568,651.21,524.96,369887.28,298177.28,71710
Europe,San Marino,Online,H,4/13/2014,MVEM,904589211,5/4/2014,6905,651.21,524.96,4496605.05,3624848.8,871756.25
Australia and Oceania,Tuvalu,Offline,H,11/23/2016,YTOV,613513743,12/31/2016,1205,668.27,502.54,805265.35,605560.7,199704.65
Australia and Oceania,Kiribati,Offline,M,10/22/2010,ZBOW,516195905,10/29/2010,2694,109.28,35.84,294400.32,96552.96,197847.36
Asia,Kyrgyzstan,Offline,H,12/3/2013,BOTW,975184524,1/17/2014,7626,154.06,90.93,1174861.56,693432.18,481429.38
Australia and Oceania,Samoa ,Online,M,12/8/2014,EDQI,173340928,1/3/2015,4287,109.28,35.84,468483.36,153646.08,314837.28
Sub-Saharan Africa,Central African Republic,Offline,H,12/16/2014,IXRR,863838946,1/5/2015,7995,81.73,56.67,653431.35,453076.65,200354.7
Asia,Uzbekistan,Offline,L,3/2/2016,LIQZ,920164906,3/6/2016,6099,205.7,117.11,1254564.3,714253.89,540310.41
Central America and the Caribbean,Dominica,Online,M,6/12/2010,LZSI,986117637,7/30/2010,2977,421.89,364.69,1255966.53,1085682.13,170284.4
Middle East and North Africa,Qatar,Online,L,6/18/2013,MVEM,425808465,7/18/2013,5042,205.7,117.11,1037139.4,590468.62,446670.78
Central America and the Caribbean,Saint Lucia,Online,L,6/12/2015,LIQZ,473661220,7/3/2015,5736,47.45,31.79,272173.2,182347.44,89825.76
Europe,Bosnia and Herzegovina,Online,C,4/4/2015,LZSI,184412229,4/7/2015,531,255.28,159.42,135553.68,84652.02,50901.66
Asia,South Korea,Offline,H,8/12/2016,MKIT,483110320,9/30/2016,1934,154.06,90.93,297952.04,175858.62,122093.42
Central America and the Caribbean,Trinidad and Tobago,Online,H,9/22/2016,MVEM,115116822,11/1/2016,4481,668.27,502.54,2994517.87,2251881.74,742636.13
Middle East and North Africa,Somalia,Online,M,1/29/2010,RACB,596105563,3/20/2010,9738,255.28,159.42,2485916.64,1552431.96,933484.68
Sub-Saharan Africa,Nigeria,Online,C,12/10/2014,URQD,362062871,12/23/2014,1304,152.58,97.44,198964.32,127061.76,71902.56
Sub-Saharan Africa,South Africa,Online,H,7/28/2016,UWDY,619287574,8/2/2016,9810,47.45,31.79,465484.5,311859.9,153624.6
Central America and the Caribbean,Saint Vincent and the Grenadines,Offline,H,6/10/2016,VBOO,394391000,6/23/2016,7916,109.28,35.84,865060.48,283709.44,581351.04
Sub-Saharan Africa,Sudan,Online,M,4/16/2013,WQZC,584296977,4/28/2013,5315,47.45,31.79,252196.75,168963.85,83232.9
Middle East and North Africa,Algeria,Offline,M,7/5/2014,LIQZ,806241834,8/15/2014,3730,109.28,35.84,407614.4,133683.2,273931.2
Europe,Netherlands,Offline,M,3/8/2017,WQZC,747774398,4/3/2017,1916,421.89,364.69,808341.24,698746.04,109595.2
Central America and the Caribbean,Panama,Online,H,11/24/2011,LZSI,616755998,12/3/2011,660,421.89,364.69,278447.4,240695.4,37752
Australia and Oceania,Solomon Islands,Offline,C,10/20/2016,UWDY,691360461,11/7/2016,7779,255.28,159.42,1985823.12,1240128.18,745694.94
Central America and the Caribbean,Saint Vincent and the Grenadines,Online,C,4/1/2013,VBOO,870074117,5/16/2013,3121,47.45,31.79,148091.45,99216.59,48874.86
Middle East and North Africa,Iran,Online,H,3/1/2010,WQZC,221695792,3/20/2010,3566,651.21,524.96,2322214.86,1872007.36,450207.5
Australia and Oceania,Vanuatu,Online,M,7/13/2017,XZEM,135336816,8/17/2017,8026,9.33,6.92,74882.58,55539.92,19342.66
Australia and Oceania,Federated States of Micronesia,Online,L,4/29/2012,ASNX,270421016,5/23/2012,2443,651.21,524.96,1590906.03,1282477.28,308428.75
Sub-Saharan Africa,Equatorial Guinea,Online,H,6/16/2010,EDQI,806684720,7/18/2010,4790,668.27,502.54,3201013.3,2407166.6,793846.7
Europe,Russia,Online,M,7/10/2017,IXRR,194176757,8/20/2017,72,668.27,502.54,48115.44,36182.88,11932.56
Middle East and North Africa,Azerbaijan,Offline,H,6/28/2017,VBOO,103258454,8/15/2017,5326,255.28,159.42,1359621.28,849070.92,510550.36
Middle East and North Africa,Iraq,Online,H,4/21/2014,ZBOW,474603641,5/30/2014,4619,651.21,524.96,3007938.99,2424790.24,583148.75
Sub-Saharan Africa,Mauritius ,Online,H,12/26/2012,UWDY,869198644,1/5/2013,4049,205.7,117.11,832879.3,474178.39,358700.91
Sub-Saharan Africa,Eritrea,Online,H,11/1/2015,VBOO,918342292,12/21/2015,6747,668.27,502.54,4508817.69,3390637.38,1118180.31
Europe,Ukraine,Online,H,1/22/2011,WQZC,773645913,1/28/2011,7873,437.2,263.33,3442075.6,2073197.09,1368878.51
Asia,Myanmar,Online,C,6/13/2014,XZEM,657033336,7/2/2014,9620,437.2,263.33,4205864,2533234.6,1672629.4
Europe,Bosnia and Herzegovina,Online,H,7/24/2012,,410740888,9/1/2012,6211,421.89,364.69,2620358.79,2265089.59,355269.2
Europe,Latvia,Offline,M,12/15/2011,,847317397,12/18/2011,8902,421.89,364.69,3755664.78,3246470.38,509194.4
Europe,Serbia,Online,L,9/3/2012,VBOO,599624192,9/21/2012,978,47.45,31.79,46406.1,31090.62,15315.48
Asia,Mongolia,Offline,H,1/19/2012,VBOO,170835101,2/12/2012,2758,47.45,31.79,130867.1,87676.82,43190.28
Central America and the Caribbean,Grenada,Online,H,1/17/2016,YTOV,584436452,2/9/2016,6588,205.7,117.11,1355151.6,771520.68,583630.92
Sub-Saharan Africa,Namibia,Online,H,10/2/2012,ZBOW,234227073,10/12/2012,1851,651.21,524.96,1205389.71,971700.96,233688.75
Europe,Portugal,Online,M,1/21/2014,BOTW,734318292,3/4/2014,9956,651.21,524.96,6483446.76,5226501.76,1256945
Central America and the Caribbean,Barbados,Online,H,12/21/2013,EDQI,169133937,12/31/2013,9345,152.58,97.44,1425860.1,910576.8,515283.3
Asia,Sri Lanka,Online,C,2/24/2015,IXRR,743410336,3/20/2015,494,205.7,117.11,101615.8,57852.34,43763.46
Europe,Poland,Offline,L,7/7/2017,LIQZ,232196319,8/4/2017,905,668.27,502.54,604784.35,454798.7,149985.65
Sub-Saharan Africa,Senegal,Offline,L,6/30/2014,LZSI,530853211,8/2/2014,117,47.45,31.79,5551.65,3719.43,1832.22
Australia and Oceania,Kiribati,Online,L,12/7/2011,ZBOW,905054843,1/12/2012,4695,9.33,6.92,43804.35,32489.4,11314.95
Middle East and North Africa,Somalia,Offline,C,9/27/2016,BOTW,240787541,11/13/2016,3239,668.27,502.54,2164526.53,1627727.06,536799.47
Sub-Saharan Africa,Burundi,Online,L,5/22/2010,SNIL,194350135,6/5/2010,1379,421.89,364.69,581786.31,502907.51,78878.8